Timestamp,country,age,Did you ever had a dog?,What is your education due to the dog's behavior?,Do you think that is shown in this video?,What makes a dog in this video?,What happens to the dog?,dog beieves its real,"On a scale of 1 to 5 vote, how useful do you think happens to the dog? (1 - bad, 5 - useful)",,,
05.10.2016 20:22:14,Russia,35,YES,dog Owner,A dog hunts a bright spot on the screen,"""Playing in the hunt""",Playing,#VALUE!,1,,,
05.10.2016 20:25:23,Russia,45,Yes,reading courses animalterapii and animal psychology,play behavior,"closely following the moving object on the tablet screen, trying to catch his paw, with the disappearance of the visual field - anticipates the location where the subject","interest, attention, the predominance of visual perception",#VALUE!,#VALUE!,,,
05.10.2016 20:27:29,Israel,35,Yes,beginner,Dog plays with the tablet,"He is playing with the tablet, trying to dig out the ball",Playing,#VALUE!,#VALUE!,,,
05.10.2016 20:29:44,Israel,40,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",The tablet and the dog,He is trying to catch something,capture,#VALUE!,#VALUE!,,,
05.10.2016 20:36:09,Russia,36 years,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","Yorkshire Terrier trying to catch a moving point (spot) that moves across the screen of the tablet. It's like playing with a cat / dog and a laser pointer, but on the tablet. Unfortunately, it is not clear whether there is something to the game (spot), when the dog catches a spot on the screen. At the end of the video it seems that the stain disappears if the dog fails to catch it exactly.","The dog stares at a spot-moving, trying to catch his paw (in my opinion, sometimes it succeeds). At the end of the video, it seems, or respond to any sign (voice) host (look without sound).","He is interested in the game, is actively involved and tries to touch his paw up spot",#VALUE!,#VALUE!,,,
05.10.2016 20:38:11,Russia,37,+,The expert / professional,York and the plate,Trying to catch a virtual ball,Excitation,#VALUE!,#VALUE!,,,
05.10.2016 20:38:39,USA,40,There is now,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",new time reality show - animals and gadgets,paw trying to catch a moving target,she plays,#VALUE!,#VALUE!,,,
05.10.2016 20:38:59,Russia,59,Yes,dog Owner,The dog show toy for cats - a light bulb.,"Trying to get (take) a ray does not understand why he can not take his paw or mouth, refers to a person ""with the question"" and for help (looking at the operator).","pulls out, then he does not understand, wonders, ask for help.",#VALUE!,#VALUE!,,,
05.10.2016 20:43:40,Russia,43,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",The dog sees a moving object,Trying to catch the object,excited,#VALUE!,#VALUE!,,,
05.10.2016 20:46:59,Russia,57,It was and is,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",The owner has decided to show his dog playing a video game,Dog tries to catch a moving object,She is excited,#VALUE!,#VALUE!,,,
05.10.2016 20:53:09,Russia,50,Now there,dog Owner,Apparently it's an interactive game,Catches the ball / ball,Apparently it is interesting where hiding the ball / ball,#VALUE!,#VALUE!,,,
05.10.2016 20:53:54,Israel,42,no Unfortunately,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing in the plate ..,Catches insects / balls on the plate,"She plays, busy ..",#VALUE!,#VALUE!,,,
05.10.2016 20:56:21,Finland,33,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing in the outdoor computer game,Trying to catch the elusive moving object,Dog plays with excitement and enthusiasm,#VALUE!,#VALUE!,,,
05.10.2016 21:00:28,Russia,37,"The first dog, he is now 4 years","For a basic understanding of the behavior of dogs (online courses, reading of literature)","The dog sees a moving object on the tablet screen, trying to catch him.","Dog in vain trying to ""catch"" the moving object on the tablet screen.","Excited and animated, as ""Hunts"" to a moving object. I can not understand why you can not catch him. Wave.",#VALUE!,#VALUE!,,,
05.10.2016 21:02:36,Norway,34,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",It is shown as a dog playing,Playing,I think it is interesting,#VALUE!,#VALUE!,,,
05.10.2016 21:02:59,Russia,53,Yes,dog Owner,The dog reacts to the sound and movement of the light signal on the tablet screen,Catches from the screen reflected light signal dapper,The dog is nervous,#VALUE!,#VALUE!,,,
05.10.2016 21:03:59,Russia,43,Yes,dog Owner,dog sees a bright spot on the tablet screen and trying to play with it as with this toy,"He is trying to catch a moving point, to manage it, which, of course, it can not",I believe that the dog may be frustrated by this game,#VALUE!,#VALUE!,,,
05.10.2016 21:05:01,Estonia,56,There were and are,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing,Dog tries to catch something moving on the tablet screen,The dog is interested,#VALUE!,#VALUE!,,,
05.10.2016 21:08:37,Russia,46,There are now 5 dogs)),"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog explores the moving object,Exhibits natural hunting instinct,She tries to catch and makes attempts,#VALUE!,#VALUE!,,,
05.10.2016 21:10:33,Israel,32,Yes,veterinarian,"dog ""playing"" with the tablet",Trying to catch a moving object,"she is interested, but then realizes that her futile attempts",#VALUE!,1,,,
05.10.2016 21:12:23,Israel,54,Yes,dog Owner,Dog tries to catch a point that moves on the screen.,She is at a loss and does not know what it is.,"To support and possibly to understand, looking at his master.",#VALUE!,#VALUE!,,,
05.10.2016 21:13:00,Russia,28,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",It is shown as a dog playing with a toy on the tablet,"Trying to catch a spot of light that appears on the tablet screen, as if it is on the floor","Dog catches and digs a light spot, it is interested",#VALUE!,#VALUE!,,,
05.10.2016 21:13:55,Belarus,50,Dve,dog Owner,"someone alive, for example, white mouse",He wants to play,she was interested,#VALUE!,#VALUE!,,,
05.10.2016 21:14:47,Russia,37,Yes,The expert / professional,Dog playing,"Dog sees exactly the point / circle which are displayed on the tablet screen, trying to understand what it is. play. she tries to pick up the circle. When the circle disappears from the screen, the dog understands that the circle somewhere in the black frame, but it is within this black border, as it does not try to dig or search for a circle outside of the tablet screen.","the dog is excited, plays",#VALUE!,#VALUE!,,,
05.10.2016 21:15:12,Ukraine,13 years,Yes,dog Owner,As the dog plays a computer game),Playing the game on the tablet.,"She is keen. But nervous, did not understand why ""mouse"" is not taken in the teeth. I do not know how useful it is for the eyes and mind.",#VALUE!,#VALUE!,,,
05.10.2016 21:16:37,Ukraine,37,Yes,dog Owner,Playing dog,Monitors the little ball on the screen,"She follows the ball, but she does not understand what happens to the ball",#VALUE!,#VALUE!,,,
05.10.2016 21:20:08,Russia,37,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing the game on the tablet.,Dog tries to catch the elusive white point.,"She is very interested, dog playing, having fun.",#VALUE!,#VALUE!,,,
05.10.2016 21:22:12,Belarus,37,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing in the game in the plate,running around trying to catch the point,Catches paws this point,#VALUE!,#VALUE!,,,
05.10.2016 21:29:01,Russia,33,No,I know nothing,A game,Playing with the white dot on the plate,Trying to catch the white ball,#VALUE!,#VALUE!,,,
05.10.2016 21:30:07,Republic of Belarus,39,In childhood. And right now there.,dog Owner,"Because I am your long-time subscriber, such a video is seen. Dogs entertain the moving picture.",Dog suggests that playing with real object.,"Dog, of course, actively catching spot. In a short video do not understand the whole picture.",1,#VALUE!,,,
05.10.2016 21:34:12,Israel,32,Yes,beginner,interaction dogs and aypada,catches a cockroach,she thinks it's all real,1,#VALUE!,,,
05.10.2016 21:34:49,RF,46,Yes,dog Owner,Dog tries to catch the ball image,Dog tries to fix the ball with his paw on the screen,"Dog for a while trying to get the ball, then finally loses interest and leaves",#VALUE!,#VALUE!,,,
05.10.2016 21:36:16,Russia,52,Yes,The owner of two dogs,dog shows interest in dvuzhuschemusya ball on a plate,"exploring the ball in the game, trying to touch him",exploring,#VALUE!,#VALUE!,,,
05.10.2016 21:38:48,Russia,50,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",moving object,touch foot,she plays,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.10.2016 21:39:52,Israel,57,No,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",In this video filmed a dog playing on the tablet,Dog catches the electronic marker (cursor),It sells its instikt.,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!
05.10.2016 21:46:57,Israel,56,Yes,dog Owner,Signature of the video: Dog playing in the cat game,"Trying to catch the light point (mouse), which moves randomly on the screen of the tablet.",Dog paw trying to pin down a moving point of light,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.10.2016 21:48:14,Russia,39,Yes,"Owner, reading books and attending courses","York, playing in the tablet))) and judging by the video title - a game for cats)))",Catches bright spot,"She is interested, keen, but after looking at the host - probably awaiting approval",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
