location,age,education,word
Russia,35,dog Owner,A
Russia,35,dog Owner,dog
Russia,35,dog Owner,hunts
Russia,35,dog Owner,a
Russia,35,                              ,bright
Russia,35, ,spot
Russia,35,dog Owner,on
Russia,35,dog Owner,the
Russia,35,dog Owner,screen
Russia,35,dog Owner,Playing
Russia,35,dog Owner,in
Russia,35,dog Owner,the
Russia,35,dog Owner,hunt
Russia,35,dog Owner,Playing
Russia,35,dog Owner,Enthusiasm
Russia,45,reading courses animalterapii and animal psychology,play
Russia,45,reading courses animalterapii and animal psychology,behavior
Russia,45,reading courses animalterapii and animal psychology,closely
Russia,45,reading courses animalterapii and animal psychology,following
Russia,45,reading courses animalterapii and animal psychology,the
Russia,45,reading courses animalterapii and animal psychology,moving
Russia,45,reading courses animalterapii and animal psychology,object
Russia,45,reading courses animalterapii and animal psychology,on
Russia,45,reading courses animalterapii and animal psychology,the
Russia,45,reading courses animalterapii and animal psychology,tablet
Russia,45,reading courses animalterapii and animal psychology,screen
Russia,45,reading courses animalterapii and animal psychology,trying
Russia,45,reading courses animalterapii and animal psychology,to
Russia,45,reading courses animalterapii and animal psychology,catch
Russia,45,reading courses animalterapii and animal psychology,his
Russia,45,reading courses animalterapii and animal psychology,paw
Russia,45,reading courses animalterapii and animal psychology,with
Russia,45,reading courses animalterapii and animal psychology,the
Russia,45,reading courses animalterapii and animal psychology,disappearance
Russia,45,reading courses animalterapii and animal psychology,of
Russia,45,reading courses animalterapii and animal psychology,the
Russia,45,reading courses animalterapii and animal psychology,visual
Russia,45,reading courses animalterapii and animal psychology,field
Russia,45,reading courses animalterapii and animal psychology,-
Russia,45,reading courses animalterapii and animal psychology,anticipates
Russia,45,reading courses animalterapii and animal psychology,the
Russia,45,reading courses animalterapii and animal psychology,location
Russia,45,reading courses animalterapii and animal psychology,where
Russia,45,reading courses animalterapii and animal psychology,the
Russia,45,reading courses animalterapii and animal psychology,subject
Russia,45,reading courses animalterapii and animal psychology,interest
Russia,45,reading courses animalterapii and animal psychology,attention
Russia,45,reading courses animalterapii and animal psychology,the
Russia,45,reading courses animalterapii and animal psychology,predominance
Russia,45,reading courses animalterapii and animal psychology,of
Russia,45,reading courses animalterapii and animal psychology,visual
Russia,45,reading courses animalterapii and animal psychology,perception
Russia,45,reading courses animalterapii and animal psychology,great
Russia,45,reading courses animalterapii and animal psychology,excitement
Russia,45,reading courses animalterapii and animal psychology,interest
Israel,35,beginner,Dog
Israel,35,beginner,plays
Israel,35,beginner,with
Israel,35,beginner,the
Israel,35,beginner,tablet
