country,Your age:,What is your education due to the dog's behavior?,Do you think that is shown in this video?,What makes a dog in this video?,What happens to the dog?,What makes a dog in this video?,What a dog feels on this video?,"Evaluate how its positive emotion on a scale of 1 to 5? (1-negative, 5 - positive)",Why did you put it this rating?,"Is there a difference between these two video and, if so, what is it?",Please write here any comments / opinion on animals interacting with tablet computers and their potential benefits / impact on the behavior of the dog:
Russia,35,dog Owner,A dog hunts a bright spot on the screen,"""Playing in the hunt""",Playing,,Enthusiasm,5,Dog fun,The second dog is better familiar with the game,"As with tezevizorom, it is a way to entertain your dog and even divert, when she wants to play, and hohyain busy, but it's not completely dlozhno hold ""live"" game"
Russia,45,reading courses animalterapii and animal psychology,play behavior,"closely following the moving object on the tablet screen, trying to catch his paw, with the disappearance of the visual field - anticipates the location where the subject","interest, attention, the predominance of visual perception",,"great excitement, interest",5,dog activities like this,incentives in dogs reactions -there difference,"generally positive assessment, but the first place I think you need to connect the olfactory sensory system"
Israel,35,beginner,Dog plays with the tablet,"He is playing with the tablet, trying to dig out the ball",Playing,,She likes,5,"It can be seen that it does not for the first time, and specifically","The first dog is trying to get the ball out, and in the second it fulfills the conditions of the game and it is clear that he can do it","This tablet is harmful, but has no effect on dogs"
Israel,40,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",The tablet and the dog,He is trying to catch something,capture,,overexcited,3,Dog in the end get nothing,"Last overexcited dog,","I do not think that there is the use of such games, as a result of a dog does not learn, there is no communication with the owner, I do not think that there is a positive effect of such games"
Russia,36 years,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","Yorkshire Terrier trying to catch a moving point (spot) that moves across the screen of the tablet. It's like playing with a cat / dog and a laser pointer, but on the tablet. Unfortunately, it is not clear whether there is something to the game (spot), when the dog catches a spot on the screen. At the end of the video it seems that the stain disappears if the dog fails to catch it exactly.","The dog stares at a spot-moving, trying to catch his paw (in my opinion, sometimes it succeeds). At the end of the video, it seems, or respond to any sign (voice) host (look without sound).","He is interested in the game, is actively involved and tries to touch his paw up spot",,"I think from time to time a dog digging in a trance, she was excited.",2,Such ardent digging motion with little control of what is happening on the screen (and the dog is rarely enough to look) rather talk about the alarming state.,"First dog (terrier) is calm, confident, feels curiosity and maintain concentration throughout the game. Poodle little interacts with the game (more than just a tablet surface), it is included in natural digging trance.","Unfortunately, I do not know much about the subject, that opinion would like to receive more information. What are (theoretically) there are prospects for the use of dogs games (do not understand the use of computer games for people)."
Russia,37,The expert / professional,York and the plate,Trying to catch a virtual ball,Excitation,,"The desire to get ""balls""",1,There are games for the normal development of the dog,The second dog demonstrates a strong excitation,"I do not see the use of such toys. Rather, such a task can be used as a behavioral test element."
USA,40,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",new time reality show - animals and gadgets,paw trying to catch a moving target,she plays,,obviously excitement,4,Body language tells the dog passionate about the process and quite a happy,the difference between the video dogs reaction plate and in their different excitation with,"considering how much debate is conducted until now on benefit or harm the development of children with the help of gadgets, I am rather skeptical about the fact that electronic toys for dogs can be an alternative to the intellectual games"
Russia,59,dog Owner,The dog show toy for cats - a light bulb.,"Trying to get (take) a ray does not understand why he can not take his paw or mouth, refers to a person ""with the question"" and for help (looking at the operator).","pulls out, then he does not understand, wonders, ask for help.",,Excitation and joy (creativity).,4,"Smile a little, but turns his head to the operator (or to those who are close), active uses the entire space of the tablet, the two legs is one. That is, create a poodle. ))))","It seems to me that the difference is still there: York on the first video plays, but not achieve a result - ray escapes, is not given into the hands so there is a complete pleasure. A poodle does not catch anything, but he creates his tracks, so the result is. He can create a spot anywhere in the tablet, chooses where ""Heritage""",I would like to have more. While most want a remote control with the bustle on the street and picking up muck from the ground)))))
Russia,43,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",The dog sees a moving object,Trying to catch the object,excited,,excited,4,Action creates results,The first video dog never reaches the result,"I'm sorry to expose the device under the dog's claws. The dog does not recognize the beloved master on Skype, that is the interpretation of images of dogs is not the same as in humans."
Russia,57,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",The owner has decided to show his dog playing a video game,Dog tries to catch a moving object,She is excited,,"Strong agitation. Her protruding tongue, she is breathing hard",1,Anything useful dog can not learn by playing this game,"There is a difference in the reaction of dogs. In the first video, the dog goes away disappointed, so to talk about the mood of the dog and the second dog is excited strongly.","I do not see the benefits of these dog games. She can not learn anything, she does not get positive reinforcement. Only studies with a man can teach your dog how to behave, to load her brain, to bring together the human and the dog emotionally when the dog will be happy only on the fact that it is close to your favorite host"
